name, latitude, longitude, rating, num_reviews, neighborhoods
Blaze Fast-Fire'd Pizza,39.9971313,-83.0073166,4,24, 'University District'
German Village Coffee Shop,39.9395218,-82.9909134,4,123, 'German Village'
Barcelona,39.94429,-82.989906,4,237, 'German Village'
Yellow Brick Pizza,39.9630966,-82.9766083,3.5,156, 'Olde Towne East'
Short North Tavern,39.9761887,-83.0031967,3.5,58, 'Short North'
Jack's Sandwich Shop,39.963299,-82.999237,4,23, 'Downtown'
The Elevator Brewery and Draught Haus,39.9656928344,-83.001491616,3.5,209, 'Downtown'
Basil,39.9853401,-83.0050125,3.5,185, 'Short North'
Aloha Hawaiian BBQ & Asian Bistro,39.9882421643,-83.0324551463,3.5,102, 'Grandview Heights'
The Thurman Café,39.939388,-82.991127,4,491, 'German Village'
Rumba Café,40.0147591,-83.0002899,3.5,27, 'University District'
Café Bella,40.0151711,-83.0116806,4,59, 'University District'
Kafé Kerouac,40.0082016,-83.0094833,4,60, 'University District'
OH Pizza & Brew,39.9678423815,-82.9988579051,4,69, 'Downtown'
Mughal Darbar,40.009624,-83.010505,4,36, 'University District'
Cray Eatery & Drinkery,39.9777429,-82.998551,3.5,71, 'Italian Village'
The Crest Gastropub,40.0220084527,-83.0018159375,3.5,265, 'Clintonville'
Out-R-Inn,40.005161,-83.008484,4,24, 'University District'
ZenCha Tea Salon,39.9635582,-83.0002136,4,35, 'Downtown'
Kolache Republic,39.9473083019,-82.9977145046,4.5,41, 'Brewery District'
The Angry Baker,39.9628716,-82.9764709,4,189, 'Olde Towne East'
Scioto Audubon Metro Park,39.9454857409,-83.0061762035,4.5,37, 'Brewery District'
Best of the Wurst,39.9721718,-83.004158,4,19, 'Short North'
Loops,39.9917196482,-83.0406808108,4,81, 'Upper Arlington'
The Old Mohawk,39.9457809,-82.993213,4,164, 'German Village'
The Table,39.986723,-83.004683,3.5,67, 'Short North
Japanese Oriental Restaurant,40.0088196,-83.0100784,3.5,67, 'University District'
Rigsby's Kitchen,39.9766197,-83.0032501,3.5,121, 'Short North'
Cup O'Joe,40.023113,-83.01326,4,71, 'Clintonville'
La Tavola,39.982087,-83.0494999,4,39, 'Grandview Heights'
Local Bar,39.9810791,-83.0047684,3.5,33, 'Short North'
Gallerie Bar & Bistro,39.970786348,-83.0023674667,3.5,57, 'Downtown'
Mad Mex - Columbus,39.9939194,-83.0066376,3.5,154, 'University District'
Arepazo Tapas Bar Grille,39.9514163,-82.9985666,4,50, 'Brewery District'
Flying Pizza,39.9993591,-83.007637,3.5,37, 'University District'
Zest Juice Co,39.9884911,-83.0324707,4.5,17, 'Grandview Heights'
Fortune Chinese Restaurant,40.0190708041,-83.0244192481,4,89, ''
Halwani Cuisine,39.9872933328,-83.0446679145,4,31, 'Grandview Heights'
Nancy's Home Cooking,40.026126,-83.014739,4,90, 'Clintonville'
Big Bang - Dueling Piano Bar,39.969783783,-83.0043945312,3.5,56, 'Arena District'
The Carvery,39.963558,-82.999283,4,31, 'Downtown'
Hudson 29,40.0071400286,-83.0522578955,4,96, 'Upper Arlington'
Strongwater Food & Spirits,39.9570231373,-83.0110595854,4,65, 'Franklinton'
Cornerstone Deli & Café,40.0293885916,-83.0152179301,4,108, 'Clintonville'
The Warehouse Café,39.967941,-82.996193,4,38, 'Downtown'
The Topiary Park,39.960461272,-82.9875254631,4,30, 'Discovery District'
Mitchell's Steakhouse,39.963735491,-82.998296544,3.5,77, 'Downtown'
Little Rock Bar,39.982256,-82.998397,4,13, 'Italian Village'
Jason's Deli,39.9746053139,-83.0264814212,4,40, 'Grandview Heights'
Peking Wok,39.9573069066,-83.0407941341,4.5,12, 'Franklinton'
The Thirsty Scholar,40.006698,-83.01445,4.5,12, 'University District'
Tommy's Pizza,40.0064414466,-83.0139564019,4,27, 'University District'
Matt The Miller's Tavern,39.9862099,-83.044548,3.5,159, 'Grandview Heights'
McCarthy's Wildflower Café & Catering,40.033611,-83.000519,4,90, 'Clintonville'
M I A Hookah Cafe,39.9870629,-83.0017848,4.5,7, 'University District'
Mikey's Late Night Slice,40.0155106,-83.0112686,4,34, 'University District'
The Pint House,39.9782913,-83.0036437,3.5,144, 'Short North'
Tai's Asian Bistro,40.0068321,-83.044548,3.5,153, 'University District'
4th Street Bar and Grill,40.0002518,-82.9984818,3.5,58, 'University District'
Grand Day Cafe,39.9888916,-83.0402603,4,77, 'Grandview Heights'
Piada Italian Street Food,40.0064583,-83.045372,3.5,179, 'University District'
Mama Mimi's Pizza,39.9914589,-83.0486221,4,31, 'Grandview Heights'
Cambridge Tea House,39.9891396,-83.0570374,4,57, 'Grandview Heights'
Lexi's On Third,39.962982,-82.997803,4,31, 'Downtown'
The Oval,39.9986350536,-83.0126463622,4.5,11, 'University District'
Marshall's,39.9795455933,-83.0341110229,3.5,86, 'Grandview Heights'
Pelotonia,39.9675293,-83.0114212,5,6, 'Arena District'
CMYE Meet The Owner: Beer Tasting & Board Games,39.987583,-83.030377,5,5, 'Grandview Heights'
Danny's Deli and Restaurant,39.9618492,-83.002182,4,31, 'Downtown'
Jack & Benny's,40.014599,-83.011772,3.5,126, 'University District'
Café Kabul,40.0190849,-83.0246048,4,54, ''
Jeni's Splendid Ice Creams,39.9769783,-83.0033264,4.5,277, 'Short North
Too's Spirits Under High,40.000679,-83.0079193,3.5,13, 'University District'
Due Amici,39.9637108,-82.998909,3.5,144, 'Downtown'
Five Guys Burgers and Fries,39.9948661,-83.0072127,3.5,31, 'University District'
Skully's Music-Diner,39.9858818054,-83.0057601929,3,87, 'Short North'
Mykonos Gyros,39.9701721221,-83.0021227151,4.5,15, 'Downtown'
Mango's Cafe,39.987963,-83.006313,3.5,22, 'Short North
Library Bar,40.0065384,-83.0097122,3.5,30, 'University District'
DiBella's Old Fashioned Submarines,39.9915695,-83.0262604,3.5,38, 'University District'
Rehab Tavern,39.957607,-83.012329,4,28, 'Franklinton'
Aladdin's Eatery,40.0220695138,-83.0134094507,3.5,73, 'Clintonville'
Paddy Wagon,39.96531,-83.00898,4,26, 'Downtown'
Northstar Café,40.0484085,-83.0204697,4,240, 'Clintonville'
BBR Columbus,39.971771,-83.0055,3.5,67, ''
Johnnie's Glenn Avenue Grill,39.9871139526,-83.0545730591,4,38, 'Grandview Heights'
Gresso's,39.942379,-82.9972992,4,83, 'Brewery District'
Blue Danube,40.011978,-83.010925,3.5,103, 'University District'
Aladdin's Eatery,39.9866797775,-83.0447128415,3.5,77, 'Grandview Heights'
